POKÈMON,#DEX,SPRITE,ENCOUNTERS,,,,,,,,,,,,,,,
Bulbasaur,#001,,,,,,,,,,,,,,,,,
Ivysaur,#002,,,,,,,,,,,,,,,,,
Venusaur,#003,,,,,,,,,,,,,,,,,
Charmander,#004,#NAME?,-,,,,,,,,,,,,,,,
Charmeleon,#005,#NAME?,-,,,,,,,,,,,,,,,
Charizard,#006,#NAME?,-,,,,,,,,,,,,,,,
Squirtle,#007,#NAME?,20.00,,,,,,,,,,,,,,,
Wartortle,#008,,,,,,,,,,,,,,,,,
Blastoise,#009,,,,,,,,,,,,,,,,,
Caterpie,#010,,,,,,,,,,,,,,,,,
Metapod,#011,,,,,,,,,,,,,,,,,
Butterfree,#012,,,,,,,,,,,,,,,,,
Weedle,#013,#NAME?,-,,,,,,,,,,,,,,,
Kakuna,#014,#NAME?,-,,,,,,,,,,,,,,,
Beedrill,#015,#NAME?,-,,,,,,,,,,,,,,,
Pidgey,#016,#NAME?,-,,,,,,,,,,,,,,,
Pidgeotto,#017,,,,,,,,,,,,,,,,,
Pidgeot,#018,#NAME?,-,,,,,,,,,,,,,,,
Rattata,#019,,,,,,,,,,,,,,,,,
Raticate,#020,,,,,,,,,,,,,,,,,
Spearow,#021,,,,,,,,,,,,,,,,,
Fearow,#022,,,,,,,,,,,,,,,,,
Ekans,#023,,,,,,,,,,,,,,,,,
Arbok,#024,,,,,,,,,,,,,,,,,
Pikachu,#025,#NAME?,-,,,,,,,,,,,,,,,
Raichu,#026,#NAME?,-,,,,,,,,,,,,,,,
Raichu (Alolan),#028,#NAME?,32,,,,,,,,,,,,,,,
Sandshrew,#027,,,,,,,,,,,,,,,,,
Sandslash,#028,#NAME?,-,,,,,,,,,,,,,,,
Sandslash (Alolan),#028,#NAME?,-,,,,,,,,,,,,,,,
Nidoran?,#029,,,,,,,,,,,,,,,,,
Nidorina,#030,,,,,,,,,,,,,,,,,
Nidoqueen,#031,,,,,,,,,,,,,,,,,
Nidoran?,#032,,,,,,,,,,,,,,,,,
Nidorino,#033,,,,,,,,,,,,,,,,,
Nidoking,#034,,,,,,,,,,,,,,,,,
Clefairy,#035,#NAME?,-,,,,,,,,,,,,,,,
Clefable,#036,,,,,,,,,,,,,,,,,
Vulpix,#037,,,,,,,,,,,,,,,,,
Ninetales,#038,#NAME?,-,,,,,,,,,,,,,,,
Jigglypuff,#039,,,,,,,,,,,,,,,,,
Wigglytuff,#040,,,,,,,,,,,,,,,,,
Zubat,#041,,,,,,,,,,,,,,,,,
Golbat,#042,#NAME?,-,,,,,,,,,,,,,,,
Oddish,#043,#NAME?,-,,,,,,,,,,,,,,,
Gloom,#044,,,,,,,,,,,,,,,,,
Vileplume,#045,,,,,,,,,,,,,,,,,
Paras,#046,,,,,,,,,,,,,,,,,
Parasect,#047,,,,,,,,,,,,,,,,,
Venonat,#048,,,,,,,,,,,,,,,,,
Venomoth,#049,,,,,,,,,,,,,,,,,
Diglett,#050,,,,,,,,,,,,,,,,,
Dugtrio,#051,,,,,,,,,,,,,,,,,
Meowth,#052,#NAME?,-,,,,,,,,,,,,,,,
Meowth (Alolan),#052,#NAME?,-,,,,,,,,,,,,,,,
Persian,#053,,,,,,,,,,,,,,,,,
Psyduck,#054,,,,,,,,,,,,,,,,,
Golduck,#055,,,,,,,,,,,,,,,,,
Mankey,#056,#NAME?,-,,,,,,,,,,,,,,,
Primeape,#057,,,,,,,,,,,,,,,,,
Growlithe,#058,,,,,,,,,,,,,,,,,
Arcanine,#059,,,,,,,,,,,,,,,,,
Poliwag,#060,,,,,,,,,,,,,,,,,
Poliwhirl,#061,,,,,,,,,,,,,,,,,
Poliwrath,#062,,,,,,,,,,,,,,,,,
Abra,#063,,,,,,,,,,,,,,,,,
Kadabra,#064,,,,,,,,,,,,,,,,,
Alakazam,#065,,,,,,,,,,,,,,,,,
Machop,#066,#NAME?,-,,,,,,,,,,,,,,,
Machoke,#067,#NAME?,-,,,,,,,,,,,,,,,
Machamp,#068,#NAME?,-,,,,,,,,,,,,,,,
Bellsprout,#069,#NAME?,-,,,,,,,,,,,,,,,
Weepinbell,#070,,,,,,,,,,,,,,,,,
Victreebel,#071,#NAME?,3,,,,,,,,,,,,,,,
Tentacool,#072,,,,,,,,,,,,,,,,,
Tentacruel,#073,#NAME?,,,,,,,,,,,,,,,,
Geodude,#074,,,,,,,,,,,,,,,,,
Graveler,#075,,,,,,,,,,,,,,,,,
Golem,#076,,,,,,,,,,,,,,,,,
Ponyta,#077,#NAME?,,,,,,,,,,,,,,,,
Rapidash,#078,#NAME?,,,,,,,,,,,,,,,,
Slowpoke,#079,#NAME?,42,,,,,,,,,,,,,,,
Slowbro (Galarian),#080,#NAME?,13,,,,,,,,,,,,,,,
Magnemite,#081,,,,,,,,,,,,,,,,,
Magneton,#082,,,,,,,,,,,,,,,,,
Farfetch'd,#083,,,,,,,,,,,,,,,,,
Doduo,#084,,,,,,,,,,,,,,,,,
Dodrio,#085,,,,,,,,,,,,,,,,,
Seel,#086,,,,,,,,,,,,,,,,,
Dewgong,#087,,,,,,,,,,,,,,,,,
Grimer,#088,,,,,,,,,,,,,,,,,
Muk,#089,,,,,,,,,,,,,,,,,
Shellder,#090,,,,,,,,,,,,,,,,,
Cloyster,#091,,,,,,,,,,,,,,,,,
Gastly,#092,#NAME?,-,,,,,,,,,,,,,,,
Haunter,#093,#NAME?,-,,,,,,,,,,,,,,,
Gengar,#094,#NAME?,-,,,,,,,,,,,,,,,
Onix,#095,#NAME?,-,,,,,,,,,,,,,,,
