DexEntry,DexNo,Region,Gen,Pokemon,Type 1,Type 2
1,1,Kanto,I,Bulbasaur,Grass,Poison
2,2,Kanto,I,Ivysaur,Grass,Poison
3,3,Kanto,I,Venusaur,Grass,Poison
5,4,Kanto,I,Charmander,Fire,-
6,5,Kanto,I,Charmeleon,Fire,-
7,6,Kanto,I,Charizard,Fire,Flying
8,7,Kanto,I,Squirtle,Water,-
9,8,Kanto,I,Wartortle,Water,-
10,9,Kanto,I,Blastoise,Water,-
11,10,Kanto,I,Caterpie,Bug,-
12,11,Kanto,I,Metapod,Bug,-
13,12,Kanto,I,Butterfree,Bug,Flying
15,13,Kanto,I,Weedle,Bug,Poison
16,14,Kanto,I,Kakuna,Bug,Poison
17,15,Kanto,I,Beedrill,Bug,Poison
18,16,Kanto,I,Pidgey,Normal,Flying
19,17,Kanto,I,Pidgeotto,Normal,Flying
20,18,Kanto,I,Pidgeot,Normal,Flying
21,19,Kanto,I,Rattata,Normal,-
22,19,Kanto,I,Alolan Rattata,Dark,Normal
24,20,Kanto,I,Raticate,Normal,-
25,20,Kanto,I,Alolan Raticate,Dark,Normal
27,21,Kanto,I,Spearow,Normal,Flying
28,22,Kanto,I,Fearow,Normal,Flying
29,23,Kanto,I,Ekans,Poison,-
30,24,Kanto,I,Arbok,Poison,-
31,25,Kanto,I,Pikachu,Electric,-
41,26,Kanto,I,Raichu,Electric,-
42,26,Kanto,I,Alolan Raichu,Electric,Psychic
44,27,Kanto,I,Sandshrew,Ground,-
45,27,Kanto,I,Alolan Sandshrew,Ice,Steel
46,28,Kanto,I,Sandslash,Ground,-
47,28,Kanto,I,Alolan Sandslash,Ice,Steel
48,29,Kanto,I,Nidoran?,Poison,-
49,30,Kanto,I,Nidorina,Poison,-
50,31,Kanto,I,Nidoqueen,Poison,Ground
51,32,Kanto,I,Nidoran?,Poison,-
52,33,Kanto,I,Nidorino,Poison,-
53,34,Kanto,I,Nidoking,Poison,Ground
54,35,Kanto,I,Clefairy,Fairy,-
55,36,Kanto,I,Clefable,Fairy,-
56,37,Kanto,I,Vulpix,Fire,-
57,37,Kanto,I,Alolan Vulpix,Ice,-
58,38,Kanto,I,Ninetales,Fire,-
59,38,Kanto,I,Alolan Ninetales,Ice,Fairy
60,39,Kanto,I,Jigglypuff,Normal,Fairy
61,40,Kanto,I,Wigglytuff,Normal,Fairy
