Customer_ID,Tenure_Months,Monthly_Charges,Total_Charges,Contract_Type,Support_Tickets,Internet_Service,Churn
1001,1,29.85,29.85,Month-to-Month,5,DSL,1
1002,34,56.95,1889.50,One-Year,1,DSL,0
1003,2,53.85,108.15,Month-to-Month,4,Fiber-Optic,1
1004,45,42.30,1840.75,One-Year,0,No,0
1005,8,70.70,551.95,Month-to-Month,3,Fiber-Optic,1
1006,22,89.10,1949.40,Month-to-Month,2,Fiber-Optic,1
1007,10,29.75,301.90,Month-to-Month,1,DSL,0
1008,28,104.80,3046.05,One-Year,2,Fiber-Optic,1
1009,62,56.15,3487.95,Two-Year,0,DSL,0
1010,13,49.95,587.45,Month-to-Month,3,DSL,0
1011,16,18.95,326.80,Month-to-Month,1,No,0
1012,58,100.35,5681.10,Two-Year,0,Fiber-Optic,0
1013,49,103.70,5036.30,One-Year,1,Fiber-Optic,0
1014,25,20.05,502.25,One-Year,0,No,0
1015,1,95.60,95.60,Month-to-Month,6,Fiber-Optic,1
1016,71,118.65,8477.60,Two-Year,0,Fiber-Optic,0
1017,3,74.40,215.10,Month-to-Month,4,Fiber-Optic,1
1018,48,55.20,2626.15,One-Year,1,DSL,0
1019,12,85.00,1020.00,Month-to-Month,3,Fiber-Optic,1
1020,68,24.15,1632.20,Two-Year,0,No,0
